#OTU ID	0.0_1_BULK	0.0_1_RHIZO	0.0_2_BULK	0.0_2_RHIZO	0.0_3_BULK	0.0_3_RHIZO	0.0_4_BULK	0.0_4_RHIZO	0.0_5_BULK	0.0_5_RHIZO	0.0_6_BULK	0.0_6_RHIZO	0.C_1_BULK	0.C_1_RHIZO	0.C_2_BULK	0.C_2_RHIZO	0.C_3_BULK	0.C_3_RHIZO	0.C_4_BULK	0.C_4_RHIZO	0.C_5_BULK	0.C_5_RHIZO	0.C_6_BULK	0.C_6_RHIZO	0.CE_1_BULK	0.CE_1_RHIZO	0.CE_2_BULK	0.CE_2_RHIZO	0.CE_3_BULK	0.CE_3_RHIZO	0.CE_4_BULK	0.CE_4_RHIZO	0.CE_5_BULK	0.CE_5_RHIZO	0.CE_6_BULK	0.CE_6_RHIZO	0.CEN_1_BULK	0.CEN_1_RHIZO	0.CEN_2_BULK	0.CEN_2_RHIZO	0.CEN_3_BULK	0.CEN_3_RHIZO	0.CEN_4_BULK	0.CEN_4_RHIZO	0.CEN_5_BULK	0.CEN_5_RHIZO	0.CEN_6_BULK	0.CEN_6_RHIZO	0.CN_1_BULK	0.CN_1_RHIZO	0.CN_2_BULK	0.CN_2_RHIZO	0.CN_3_BULK	0.CN_3_RHIZO	0.CN_4_BULK	0.CN_4_RHIZO	0.CN_5_BULK	0.CN_5_RHIZO	0.CN_6_BULK	0.CN_6_RHIZO	0.E_1_BULK	0.E_1_RHIZO	0.E_2_BULK	0.E_2_RHIZO	0.E_3_BULK	0.E_3_RHIZO	0.E_4_BULK	0.E_4_RHIZO	0.E_5_BULK	0.E_5_RHIZO	0.E_6_BULK	0.E_6_RHIZO	0.EN_1_BULK	0.EN_1_RHIZO	0.EN_2_BULK	0.EN_2_RHIZO	0.EN_3_BULK	0.EN_3_RHIZO	0.EN_4_BULK	0.EN_4_RHIZO	0.EN_5_RHIZO	0.EN_6_BULK	0.EN_6_RHIZO	0.N_1_BULK	0.N_1_RHIZO	0.N_2_BULK	0.N_2_RHIZO	0.N_3_BULK	0.N_3_RHIZO	0.N_4_BULK	0.N_4_RHIZO	0.N_5_BULK	0.N_5_RHIZO	0.N_6_BULK	0.N_6_RHIZO	PHE.0_1_BULK	PHE.0_1_RHIZO	PHE.0_2_BULK	PHE.0_2_RHIZO	PHE.0_3_BULK	PHE.0_3_RHIZO	PHE.0_4_BULK	PHE.0_4_RHIZO	PHE.0_5_BULK	PHE.0_5_RHIZO	PHE.0_6_BULK	PHE.0_6_RHIZO	PHE.C_1_BULK	PHE.C_1_RHIZO	PHE.C_2_RHIZO	PHE.C_3_BULK	PHE.C_3_RHIZO	PHE.C_4_BULK	PHE.C_4_RHIZO	PHE.C_5_BULK	PHE.C_5_RHIZO	PHE.C_6_BULK	PHE.C_6_RHIZO	PHE.CE_1_BULK	PHE.CE_1_RHIZO	PHE.CE_2_BULK	PHE.CE_2_RHIZO	PHE.CE_3_BULK	PHE.CE_3_RHIZO	PHE.CE_4_BULK	PHE.CE_4_RHIZO	PHE.CE_5_BULK	PHE.CE_5_RHIZO	PHE.CE_6_BULK	PHE.CE_6_RHIZO	PHE.CEN_1_BULK	PHE.CEN_1_RHIZO	PHE.CEN_2_BULK	PHE.CEN_2_RHIZO	PHE.CEN_3_BULK	PHE.CEN_3_RHIZO	PHE.CEN_4_BULK	PHE.CEN_4_RHIZO	PHE.CEN_5_BULK	PHE.CEN_5_RHIZO	PHE.CEN_6_BULK	PHE.CEN_6_RHIZO	PHE.CN_1_BULK	PHE.CN_1_RHIZO	PHE.CN_2_BULK	PHE.CN_2_RHIZO	PHE.CN_3_BULK	PHE.CN_3_RHIZO	PHE.CN_4_BULK	PHE.CN_4_RHIZO	PHE.CN_5_BULK	PHE.CN_5_RHIZO	PHE.CN_6_BULK	PHE.CN_6_RHIZO	PHE.E_1_BULK	PHE.E_1_RHIZO	PHE.E_2_BULK	PHE.E_2_RHIZO	PHE.E_3_BULK	PHE.E_3_RHIZO	PHE.E_4_BULK	PHE.E_4_RHIZO	PHE.E_5_BULK	PHE.E_5_RHIZO	PHE.E_6_BULK	PHE.E_6_RHIZO	PHE.EN_1_BULK	PHE.EN_1_RHIZO	PHE.EN_2_BULK	PHE.EN_2_RHIZO	PHE.EN_3_BULK	PHE.EN_3_RHIZO	PHE.EN_4_BULK	PHE.EN_4_RHIZO	PHE.EN_5_BULK	PHE.EN_5_RHIZO	PHE.EN_6_BULK	PHE.EN_6_RHIZO	PHE.N_1_BULK	PHE.N_1_RHIZO	PHE.N_2_BULK	PHE.N_2_RHIZO	PHE.N_3_BULK	PHE.N_3_RHIZO	PHE.N_4_BULK	PHE.N_4_RHIZO	PHE.N_5_BULK	PHE.N_5_RHIZO	PHE.N_6_BULK	PHE.N_6_RHIZO	taxonomy
1	1784	975	1977	2009	0	0	0	0	1160	988	767	594	0	0	1234	1766	0	190	1607	374	2350	392	0	1209	883	2874	1635	2071	1895	1579	684	678	12	0	1017	32	0	848	2147	1270	2276	0	2012	1477	0	2552	4214	932	1073	1475	365	1944	0	520	1113	141	1914	12	0	0	2135	444	1502	2494	0	4606	1844	534	985	437	22	69	0	17	2056	1044	0	0	357	5441	3781	640	307	2357	1446	8	1505	2069	264	2107	2461	0	0	0	512	237	265	0	29	349	2205	1668	1223	0	0	2013	282	0	365	0	54	1619	0	0	0	24	0	0	656	62	0	0	2095	413	0	0	2329	0	438	472	0	52	762	1026	182	0	339	161	0	0	0	0	0	0	875	0	262	222	2051	890	67	0	60	0	0	0	0	0	213	247	1087	2313	948	43	1591	0	1150	89	105	393	1208	418	2635	1507	0	0	1320	1297	1056	457	0	0	474	0	1831	1393	0	689	0	44	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;
2	1800	932	1947	2017	0	0	0	0	1111	933	784	625	0	0	1211	1815	0	212	1536	442	2159	358	0	1265	892	2932	1694	2046	1991	1591	681	714	0	11	1035	41	0	900	2103	1262	2268	0	1999	1507	0	2562	4145	893	1002	1419	360	1875	0	580	1065	103	1785	0	0	0	2220	396	1484	2561	0	4634	1834	478	925	477	20	64	0	0	1912	1076	0	0	340	5632	3945	751	290	2256	1507	0	1463	1975	274	2056	2524	0	0	0	513	204	212	0	27	347	2171	1591	1156	0	0	1932	230	0	402	0	62	1596	0	0	0	0	0	0	626	60	0	0	2153	397	40	0	2278	0	406	395	0	61	741	999	203	0	298	159	0	0	0	0	11	0	832	0	208	216	2041	873	62	0	67	0	0	0	0	0	201	246	1083	2281	903	50	1650	0	1140	87	92	340	1157	378	2539	1410	0	0	1215	1295	1037	397	0	0	498	6	1808	1363	0	670	0	42	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;
3	1620	912	1810	1732	0	0	0	0	1079	800	664	559	0	0	1177	1569	0	166	1360	389	1941	376	0	1109	845	2472	1492	1797	1803	1449	594	605	0	0	919	0	0	811	1871	1072	1935	0	1764	1375	0	2206	3738	843	902	1271	295	1695	0	463	1041	110	1601	0	0	46	1882	409	1282	2193	0	3958	1708	474	840	393	18	82	0	0	1796	904	0	0	322	4976	3570	661	297	2086	1287	0	1338	1791	243	1860	2098	0	0	0	384	193	257	0	58	335	1940	1391	970	0	0	1857	225	0	343	0	65	1396	0	0	0	0	0	0	601	66	0	0	1708	335	0	0	2138	0	372	405	0	59	691	941	165	37	274	173	0	0	0	0	0	0	786	0	226	194	1798	832	63	0	43	0	0	0	0	0	195	227	983	2187	847	52	1442	0	969	76	88	326	1013	396	2264	1366	0	0	1147	1163	905	415	0	0	425	0	1637	1208	0	605	0	25	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;
4	1611	856	1768	1723	7	0	0	0	901	847	720	543	0	0	1155	1638	0	171	1352	389	2084	351	0	1173	767	2591	1476	1829	1842	1386	609	598	0	0	957	0	0	915	1881	1149	2049	18	1797	1464	0	2426	3597	852	870	1199	328	1660	0	496	947	111	1614	0	0	46	1927	344	1222	2279	0	4200	1657	465	787	395	14	81	0	0	1678	974	0	0	318	5095	3446	616	329	2013	1260	0	1332	1737	270	1895	2154	0	0	0	386	220	221	0	52	318	1983	1355	992	0	0	1775	260	0	337	0	47	1384	0	0	0	0	0	0	637	54	0	0	1886	331	0	0	2096	0	387	359	0	49	699	947	174	35	280	156	0	0	0	0	0	0	692	0	177	198	1752	805	61	0	51	0	0	0	0	0	174	190	1048	1949	807	47	1478	0	984	92	82	358	1050	363	2171	1297	0	7	1116	1187	913	372	0	0	416	0	1606	1160	0	645	0	20	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;
5	1152	673	1197	1168	0	0	0	0	712	541	499	396	0	0	797	1136	0	104	978	225	1413	197	0	792	553	1782	1052	1221	1200	952	454	455	0	0	559	0	0	513	1357	753	1334	0	1294	964	0	1535	2679	549	619	895	248	1209	0	353	723	71	1185	0	0	33	1304	308	1001	1545	0	2690	1222	303	591	286	20	52	0	0	1249	650	0	0	201	3570	2521	452	199	1451	900	0	991	1249	183	1275	1602	0	0	0	284	126	165	0	0	217	1397	1017	725	0	0	1286	180	0	233	0	45	969	4	0	0	0	0	0	426	48	0	0	1342	233	0	0	1452	0	285	317	29	31	494	630	135	19	198	118	0	0	0	0	0	0	559	0	135	145	1295	549	49	0	33	0	0	0	0	0	150	123	737	1465	633	23	984	0	744	63	68	247	730	268	1583	996	0	0	822	810	644	267	0	0	328	0	1158	843	0	476	0	22	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;
7	1058	591	1236	1170	0	0	0	0	667	523	491	369	0	0	698	1063	0	118	905	241	1357	227	0	741	512	1690	969	1220	1155	944	416	420	0	0	577	0	0	566	1234	734	1322	0	1250	906	0	1413	2398	507	622	804	213	1090	0	337	678	81	1065	0	0	35	1263	282	889	1527	0	2669	1126	289	511	247	0	49	20	0	1176	635	0	0	209	3314	2251	473	212	1308	899	0	947	1230	151	1245	1542	0	0	0	285	154	139	0	47	215	1336	984	678	0	0	1142	140	0	262	0	38	947	0	0	0	0	0	0	393	27	0	0	1224	240	0	0	1384	0	251	288	0	43	441	625	138	8	204	91	0	0	23	0	0	0	491	0	123	112	1249	549	51	0	31	0	0	0	0	0	122	160	665	1442	541	40	957	0	656	52	92	214	746	231	1566	881	0	0	727	800	641	269	0	0	294	0	1125	808	0	416	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;
8	1098	543	1174	1210	0	0	9	0	663	556	477	355	0	0	678	1037	0	141	851	239	1247	228	0	793	508	1664	1022	1276	1114	970	423	430	0	0	575	0	0	624	1204	710	1296	0	1142	839	10	1424	2409	548	619	821	203	1139	0	326	703	60	1098	0	0	41	1350	238	833	1490	0	2743	1130	276	591	254	0	39	0	0	1161	656	0	0	236	3214	2306	425	174	1367	870	0	871	1222	166	1279	1526	0	0	0	274	139	128	0	25	250	1210	969	640	0	0	1176	171	0	223	0	45	990	0	0	0	0	0	0	378	50	0	0	1206	226	0	0	1335	0	270	260	0	42	468	595	119	16	215	103	0	0	34	0	0	0	482	0	122	139	1197	457	24	0	47	0	0	0	0	0	113	143	621	1356	528	29	1021	0	682	40	55	243	694	254	1511	847	0	0	676	758	644	223	0	0	299	0	1141	741	0	454	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;
9	0	266	0	0	0	0	0	1550	345	122	0	239	0	0	0	0	0	0	0	147	0	0	0	1983	753	0	0	0	0	0	0	782	0	0	0	34	493	0	0	372	0	0	0	0	0	50	0	438	0	205	0	0	203	0	0	0	0	1204	0	0	0	152	0	0	0	0	0	284	0	56	0	1412	0	5984	0	0	0	0	26	0	1199	0	0	0	503	0	0	0	0	0	0	0	0	0	401	1054	1189	1277	1729	1220	432	0	968	659	259	0	2858	1717	1716	360	1436	163	14	214	90	157	1205	1138	477	1560	1570	160	91	1197	0	360	0	0	0	1805	1252	289	374	226	559	387	33	70	221	705	0	711	1320	751	953	100	1936	1677	0	252	0	0	0	121	517	917	1396	858	658	807	841	2012	0	0	131	34	45	82	514	443	187	1989	98	1222	0	0	29	25	1305	1967	1663	73	891	969	0	144	0	0	0	105	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;
10	0	283	0	0	0	0	0	1382	338	90	0	236	0	0	0	0	0	0	0	114	0	0	0	1994	685	0	0	0	0	0	0	843	0	0	0	28	489	0	0	346	0	0	0	0	0	56	0	469	0	195	0	0	208	0	0	0	0	1210	0	0	0	95	0	0	0	0	0	275	0	71	0	1333	0	6214	0	0	0	0	35	0	1284	0	0	0	515	0	0	0	0	0	29	0	0	0	390	967	1229	1276	1694	1235	391	0	936	573	286	0	2720	1708	1597	328	1503	170	14	165	76	163	1145	1074	460	1508	1543	143	86	1079	0	433	0	0	0	1758	1131	330	362	282	546	380	23	76	236	767	0	747	1289	716	934	108	1899	1747	0	226	0	0	0	97	480	908	1452	877	639	834	765	1876	0	0	152	26	60	56	480	392	166	1947	125	1113	0	0	31	20	1291	1920	1654	68	861	920	0	143	0	0	0	100	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;
11	989	528	1064	1022	0	0	0	0	593	458	446	332	0	0	670	980	0	112	880	230	1195	215	0	679	493	1498	918	1061	1026	883	370	366	0	0	516	0	0	506	1069	715	1220	0	1009	768	0	1426	2253	562	571	687	188	970	0	273	621	58	979	0	0	0	1196	214	824	1342	0	2398	977	275	486	236	18	41	0	0	1079	548	0	0	181	2980	2109	366	160	1223	801	0	799	1063	147	1156	1312	0	0	0	233	102	138	0	28	227	1114	789	594	0	0	1031	138	0	193	0	29	775	0	0	0	0	0	0	394	33	0	0	992	212	0	0	1267	0	207	255	0	41	394	545	96	0	149	96	0	0	0	0	0	0	487	0	116	112	1062	502	48	0	40	0	0	0	0	0	95	80	579	1321	497	49	816	0	561	49	56	215	592	221	1451	750	0	0	638	707	608	270	0	0	259	0	991	691	0	375	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas;
