#OTU ID	0.0_1_Bulk	0.0_1_Rhizo	0.0_2_Bulk	0.0_2_Rhizo	0.0_3_Bulk	0.0_3_Rhizo	0.0_4_Bulk	0.0_4_Rhizo	0.0_5_Bulk	0.0_5_Rhizo	0.0_6_Bulk	0.0_6_Rhizo	0.C_1_Bulk	0.C_1_Rhizo	0.C_2_Bulk	0.C_2_Rhizo	0.C_3_Bulk	0.C_3_Rhizo	0.C_4_Bulk	0.C_4_Rhizo	0.C_5_Bulk	0.C_5_Rhizo	0.C_6_Bulk	0.C_6_Rhizo	0.CE_1_Bulk	0.CE_1_Rhizo	0.CE_2_Bulk	0.CE_2_Rhizo	0.CE_3_Bulk	0.CE_3_Rhizo	0.CE_4_Bulk	0.CE_4_Rhizo	0.CE_5_Bulk	0.CE_5_Rhizo	0.CE_6_Bulk	0.CE_6_Rhizo	0.CEN_1_Bulk	0.CEN_1_Rhizo	0.CEN_2_Bulk	0.CEN_2_Rhizo	0.CEN_3_Bulk	0.CEN_3_Rhizo	0.CEN_4_Bulk	0.CEN_4_Rhizo	0.CEN_5_Bulk	0.CEN_5_Rhizo	0.CEN_6_Bulk	0.CEN_6_Rhizo	0.CN_1_Bulk	0.CN_1_Rhizo	0.CN_2_Bulk	0.CN_2_Rhizo	0.CN_3_Bulk	0.CN_3_Rhizo	0.CN_4_Bulk	0.CN_4_Rhizo	0.CN_5_Bulk	0.CN_5_Rhizo	0.CN_6_Bulk	0.CN_6_Rhizo	0.E_1_Bulk	0.E_1_Rhizo	0.E_2_Bulk	0.E_2_Rhizo	0.E_3_Bulk	0.E_3_Rhizo	0.E_4_Bulk	0.E_4_Rhizo	0.E_5_Bulk	0.E_5_Rhizo	0.E_6_Bulk	0.E_6_Rhizo	0.EN_1_Bulk	0.EN_1_Rhizo	0.EN_2_Bulk	0.EN_2_Rhizo	0.EN_3_Bulk	0.EN_3_Rhizo	0.EN_4_Bulk	0.EN_4_Rhizo	0.EN_5_Bulk	0.EN_5_Rhizo	0.EN_6_Bulk	0.EN_6_Rhizo	0.N_1_Bulk	0.N_1_Rhizo	0.N_2_Bulk	0.N_2_Rhizo	0.N_3_Bulk	0.N_3_Rhizo	0.N_4_Bulk	0.N_4_Rhizo	0.N_5_Bulk	0.N_5_Rhizo	0.N_6_Bulk	0.N_6_Rhizo	PHE.0_1_Bulk	PHE.0_1_Rhizo	PHE.0_2_Bulk	PHE.0_2_Rhizo	PHE.0_3_Bulk	PHE.0_3_Rhizo	PHE.0_4_Bulk	PHE.0_4_Rhizo	PHE.0_5_Bulk	PHE.0_5_Rhizo	PHE.0_6_Bulk	PHE.0_6_Rhizo	PHE.C_1_Bulk	PHE.C_1_Rhizo	PHE.C_2_Bulk	PHE.C_2_Rhizo	PHE.C_3_Bulk	PHE.C_3_Rhizo	PHE.C_4_Bulk	PHE.C_4_Rhizo	PHE.C_5_Bulk	PHE.C_5_Rhizo	PHE.C_6_Bulk	PHE.C_6_Rhizo	PHE.CE_1_Bulk	PHE.CE_1_Rhizo	PHE.CE_2_Bulk	PHE.CE_2_Rhizo	PHE.CE_3_Bulk	PHE.CE_3_Rhizo	PHE.CE_4_Bulk	PHE.CE_4_Rhizo	PHE.CE_5_Bulk	PHE.CE_5_Rhizo	PHE.CE_6_Bulk	PHE.CE_6_Rhizo	PHE.CEN_1_Bulk	PHE.CEN_1_Rhizo	PHE.CEN_2_Bulk	PHE.CEN_2_Rhizo	PHE.CEN_3_Bulk	PHE.CEN_3_Rhizo	PHE.CEN_4_Bulk	PHE.CEN_4_Rhizo	PHE.CEN_5_Bulk	PHE.CEN_5_Rhizo	PHE.CEN_6_Bulk	PHE.CEN_6_Rhizo	PHE.CN_1_Bulk	PHE.CN_1_Rhizo	PHE.CN_2_Bulk	PHE.CN_2_Rhizo	PHE.CN_3_Bulk	PHE.CN_3_Rhizo	PHE.CN_4_Bulk	PHE.CN_4_Rhizo	PHE.CN_5_Bulk	PHE.CN_5_Rhizo	PHE.CN_6_Bulk	PHE.CN_6_Rhizo	PHE.E_1_Bulk	PHE.E_1_Rhizo	PHE.E_2_Bulk	PHE.E_2_Rhizo	PHE.E_3_Bulk	PHE.E_3_Rhizo	PHE.E_4_Bulk	PHE.E_4_Rhizo	PHE.E_5_Bulk	PHE.E_5_Rhizo	PHE.E_6_Bulk	PHE.E_6_Rhizo	PHE.EN_1_Bulk	PHE.EN_1_Rhizo	PHE.EN_2_Bulk	PHE.EN_2_Rhizo	PHE.EN_3_Bulk	PHE.EN_3_Rhizo	PHE.EN_4_Bulk	PHE.EN_4_Rhizo	PHE.EN_5_Bulk	PHE.EN_5_Rhizo	PHE.EN_6_Bulk	PHE.EN_6_Rhizo	PHE.N_1_Bulk	PHE.N_1_Rhizo	PHE.N_2_Bulk	PHE.N_2_Rhizo	PHE.N_3_Bulk	PHE.N_3_Rhizo	PHE.N_4_Bulk	PHE.N_4_Rhizo	PHE.N_5_Bulk	PHE.N_5_Rhizo	PHE.N_6_Bulk	PHE.N_6_Rhizo	taxonomy
1	32	12138	109	535	2669	7260	23213	79379	38539	71959	12664	52398	0	37	626	137	10631	28595	18305	28899	23217	29094	19181	44015	615	872	35	135	7478	18204	433	8135	31481	69797	27372	23296	16	0	2139	348	382	61	29046	70717	526	68462	283	391	1254	0	25730	48069	20255	21091	3602	38435	33513	59387	12778	26136	672	3759	32860	11492	21016	31073	2676	7029	36537	34130	1403	1162	225	34	71	12530	14908	19989	41940	31139	16885	381	24569	34524	31	50	66	611	19727	42367	15718	55981	25719	67646	55	5289	24541	39753	77	1339	561	130	30593	67139	15099	52452	80329	37262	19374	28159	21559	30931	23982	26677	31002	71064	12334	49961	16435	26584	15554	28511	22111	3800	15305	58275	30337	66785	21100	36294	856	4975	34348	42412	11683	9663	24542	56797	23247	52050	15169	35226	24836	30677	23460	48066	9297	28239	30507	54050	5109	50793	20444	38709	17626	38289	24557	24344	23586	47778	26872	7665	30724	76389	18940	35663	13735	32912	24366	22671	38346	56906	17455	42074	24061	51336	30504	53481	15793	35682	14250	34619	2565	2842	51	332	29783	69259	27303	91079	23004	31290	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Sphaerosporella;
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	15365	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5394	139	0	0	0	0	7776	0	0	0	9759	14945	0	0	0	0	0	0	0	0	0	0	24220	39011	0	0	0	0	0	0	0	0	0	0	0	0	4052	1632	0	0	0	0	0	58443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29017	21606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1589	31595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30116	20436	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Sphaerosporella;
3	0	0	0	0	0	0	0	0	0	0	0	0	751	19959	144	0	3239	22195	0	0	0	0	3223	292	220	0	1414	0	0	0	0	0	0	0	0	2107	3065	7098	0	20074	0	0	0	0	0	0	10035	2733	0	0	126	5300	0	0	7025	2229	0	0	3375	234	0	0	0	0	0	13	0	0	0	0	0	0	0	0	188	0	0	0	0	11	0	9	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	5415	725	1403	7929	187	5172	3489	2612	0	0	128	116	223	0	1409	0	0	211	0	0	0	0	10522	1481	0	3419	0	0	0	3802	0	0	0	67	0	417	0	0	4958	10082	2635	2343	4927	1449	324	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	26	43	1632	0	0	0	0	0	1375	0	0	0	0	0	0	0	0	0	0	112	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;
4	0	0	16	0	0	0	0	0	0	0	0	0	0	0	8627	9523	0	0	0	0	121	39	0	0	262	11	16630	28747	4329	907	0	0	0	0	0	102	0	0	32	5027	11904	2710	0	0	0	5886	80	0	0	22	0	0	0	0	0	0	0	0	299	60	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	1443	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	62	761	0	35	298	15	605	1369	0	0	0	4	176	0	1488	3072	0	10	5071	17958	0	0	0	0	229	431	0	52	16	0	0	0	9	0	0	0	310	90	16	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	22	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Zopfiella;
5	37	160	15085	1512	1516	35	51	1109	0	0	184	1179	4121	91	0	0	0	0	0	0	7	2042	0	39	3978	2261	0	14	0	5	0	11	32	167	38	7	511	2151	92	0	0	0	28	140	456	261	106	400	1137	2880	0	0	0	38	191	154	20	24	298	183	340	154	0	14	13	1070	92	1566	0	19	33	0	187	0	38	2492	114	27	110	1548	592	0	147	28	194	0	0	377	0	86	1626	912	48	841	73	261	66	75	8642	6153	0	66	35	409	53	2055	430	330	80	332	109	209	14	1883	0	92	41	53	0	15	495	723	38	254	17	0	0	0	0	12	532	1229	921	274	101	0	120	196	381	9	93	208	18	23	0	0	63	32	12	390	26	0	0	16	0	541	1436	4296	1156	683	101	1563	30	1211	22	20	50	1956	205	6498	281	39	27	2199	144	150	352	1689	0	35	847	11283	538	1413	1117	2702	80	205	23	1307	249	84	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Ostropales;f__Graphidaceae;g__Platygramme;
6	261	592	208	261	4997	617	147	89	28	337	98	75	415	125	346	261	429	503	45	91	1078	328	248	46	253	605	116	3759	99	909	302	307	81	109	397	249	410	2274	664	928	983	43	72	137	160	392	3668	688	148	438	699	684	186	161	21	88	67	825	162	112	136	342	1205	596	821	2308	1309	265	24	0	1173	362	6313	0	1000	565	34	106	69	24	113	386	215	133	1448	47	0	1076	1234	7102	3760	1669	69	265	379	2114	194	1053	428	267	1886	3321	38	74	71	61	72	174	118	679	34	966	920	788	112	54	9	289	46	132	161	133	83	352	495	1784	13	157	213	27	403	757	236	752	51	574	693	91	140	93	126	217	71	326	28	441	42	143	325	3304	51	10	59	58	70	267	44	8523	152	349	647	329	0	238	38	54	368	112	237	957	125	875	27	1819	114	253	82	137	54	506	122	453	40	580	2707	1400	0	13	73	644	243	182	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;
7	0	0	0	0	0	0	708	2270	0	0	543	2299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1158	1009	0	0	0	0	0	1305	762	1822	3375	1297	490	408	962	1339	702	782	548	1569	0	0	664	833	0	385	0	0	0	0	1418	2554	856	1555	0	0	1940	2653	525	352	0	1787	0	0	0	0	1425	0	1034	1596	322	0	1064	2028	186	1658	944	1797	963	1724	867	1154	0	0	0	0	1429	2882	988	1650	0	0	847	0	0	0	528	1532	1185	2405	572	708	0	1666	0	1004	128	0	0	0	1253	2955	1671	4253	0	0	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Sphaerosporella;
8	0	84	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	101	332	1398	0	0	0	0	33	99	0	380	285	1524	119	1056	0	128	0	118	0	160	0	75	147	141	74	187	0	0	0	63	17	0	0	295	0	0	0	0	0	0	0	541	0	199	0	0	0	0	1111	0	1418	0	7230	0	0	0	0	39	0	0	2093	50140	0	0	460	0	0	0	0	160	0	0	116	0	319	0	0	0	0	0	0	0	288	19	0	0	0	0	0	0	0	1118	0	824	0	0	128	81	0	0	0	111	0	0	0	0	234	0	30	0	0	0	43	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	50	25	0	0	0	0	0	0	0	0	0	0	276	25	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	28	0	85	0	0	0	0	0	62	8	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella;
9	0	96	465	981	538	0	0	360	0	0	36	224	4278	0	0	0	0	0	0	0	0	737	0	0	2154	1304	0	0	0	0	0	0	0	107	52	0	0	371	0	74	0	0	0	0	352	189	63	0	553	1278	0	0	0	0	152	136	0	0	0	0	0	61	0	0	0	605	118	0	0	0	30	0	0	0	17	0	46	0	111	573	254	0	0	0	97	0	0	0	15	0	0	94	0	394	0	234	0	0	5428	3958	0	0	0	276	0	869	0	224	27	619	72	151	0	1021	0	37	0	0	0	0	328	473	0	0	0	0	0	0	0	0	111	299	660	193	0	24	58	86	243	0	38	171	0	22	0	391	67	0	0	200	0	0	0	0	0	420	249	10568	538	525	97	43	0	730	0	0	0	830	0	0	334	0	18	951	82	0	0	0	0	22	3902	523	0	555	571	832	0	508	0	1293	36	60	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Ostropales;f__Graphidaceae;g__Platygramme;
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	0	0	0	51	0	0	0	0	0	0	10168	81	0	0	0	11801	1648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1172	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Sphaerosporella;
