Taxon	0.0_1_Bulk	0.0_1_Rhizo	0.0_2_Bulk	0.0_2_Rhizo	0.0_3_Bulk	0.0_3_Rhizo	0.0_4_Bulk	0.0_4_Rhizo	0.0_5_Bulk	0.0_5_Rhizo	0.0_6_Bulk	0.0_6_Rhizo	0.CEN_1_Bulk	0.CEN_1_Rhizo	0.CEN_2_Bulk	0.CEN_2_Rhizo	0.CEN_3_Bulk	0.CEN_3_Rhizo	0.CEN_4_Bulk	0.CEN_4_Rhizo	0.CEN_5_Bulk	0.CEN_5_Rhizo	0.CEN_6_Bulk	0.CEN_6_Rhizo	0.CE_1_Bulk	0.CE_1_Rhizo	0.CE_2_Bulk	0.CE_2_Rhizo	0.CE_3_Bulk	0.CE_3_Rhizo	0.CE_4_Bulk	0.CE_4_Rhizo	0.CE_5_Bulk	0.CE_5_Rhizo	0.CE_6_Bulk	0.CE_6_Rhizo	0.CN_1_Bulk	0.CN_1_Rhizo	0.CN_2_Bulk	0.CN_2_Rhizo	0.CN_3_Bulk	0.CN_3_Rhizo	0.CN_4_Bulk	0.CN_4_Rhizo	0.CN_5_Bulk	0.CN_5_Rhizo	0.CN_6_Bulk	0.CN_6_Rhizo	0.C_1_Bulk	0.C_1_Rhizo	0.C_2_Bulk	0.C_2_Rhizo	0.C_3_Bulk	0.C_3_Rhizo	0.C_4_Bulk	0.C_4_Rhizo	0.C_5_Bulk	0.C_5_Rhizo	0.C_6_Bulk	0.C_6_Rhizo	0.EN_1_Bulk	0.EN_2_Bulk	0.EN_2_Rhizo	0.EN_3_Bulk	0.EN_3_Rhizo	0.EN_4_Bulk	0.EN_4_Rhizo	0.EN_5_Bulk	0.EN_5_Rhizo	0.EN_6_Bulk	0.EN_6_Rhizo	0.E_1_Bulk	0.E_1_Rhizo	0.E_2_Bulk	0.E_2_Rhizo	0.E_3_Bulk	0.E_3_Rhizo	0.E_4_Bulk	0.E_4_Rhizo	0.E_5_Bulk	0.E_5_Rhizo	0.E_6_Bulk	0.E_6_Rhizo	0.N_1_Bulk	0.N_1_Rhizo	0.N_2_Bulk	0.N_2_Rhizo	0.N_3_Bulk	0.N_3_Rhizo	0.N_4_Bulk	0.N_4_Rhizo	0.N_5_Bulk	0.N_5_Rhizo	0.N_6_Bulk	0.N_6_Rhizo	PHE.0_1_Bulk	PHE.0_1_Rhizo	PHE.0_2_Bulk	PHE.0_2_Rhizo	PHE.0_3_Bulk	PHE.0_3_Rhizo	PHE.0_4_Bulk	PHE.0_4_Rhizo	PHE.0_5_Bulk	PHE.0_5_Rhizo	PHE.0_6_Bulk	PHE.0_6_Rhizo	PHE.CEN_1_Bulk	PHE.CEN_1_Rhizo	PHE.CEN_2_Bulk	PHE.CEN_2_Rhizo	PHE.CEN_3_Bulk	PHE.CEN_3_Rhizo	PHE.CEN_4_Bulk	PHE.CEN_4_Rhizo	PHE.CEN_5_Bulk	PHE.CEN_5_Rhizo	PHE.CEN_6_Bulk	PHE.CEN_6_Rhizo	PHE.CE_1_Bulk	PHE.CE_1_Rhizo	PHE.CE_2_Bulk	PHE.CE_2_Rhizo	PHE.CE_3_Bulk	PHE.CE_3_Rhizo	PHE.CE_4_Bulk	PHE.CE_4_Rhizo	PHE.CE_5_Bulk	PHE.CE_5_Rhizo	PHE.CE_6_Bulk	PHE.CE_6_Rhizo	PHE.CN_1_Bulk	PHE.CN_1_Rhizo	PHE.CN_2_Bulk	PHE.CN_2_Rhizo	PHE.CN_3_Bulk	PHE.CN_3_Rhizo	PHE.CN_4_Bulk	PHE.CN_4_Rhizo	PHE.CN_5_Bulk	PHE.CN_5_Rhizo	PHE.CN_6_Bulk	PHE.CN_6_Rhizo	PHE.C_1_Bulk	PHE.C_1_Rhizo	PHE.C_2_Bulk	PHE.C_2_Rhizo	PHE.C_3_Bulk	PHE.C_3_Rhizo	PHE.C_4_Bulk	PHE.C_4_Rhizo	PHE.C_5_Bulk	PHE.C_5_Rhizo	PHE.C_6_Bulk	PHE.C_6_Rhizo	PHE.EN_1_Bulk	PHE.EN_1_Rhizo	PHE.EN_2_Bulk	PHE.EN_2_Rhizo	PHE.EN_3_Bulk	PHE.EN_3_Rhizo	PHE.EN_4_Bulk	PHE.EN_4_Rhizo	PHE.EN_5_Bulk	PHE.EN_5_Rhizo	PHE.EN_6_Bulk	PHE.EN_6_Rhizo	PHE.E_1_Bulk	PHE.E_1_Rhizo	PHE.E_2_Bulk	PHE.E_2_Rhizo	PHE.E_3_Bulk	PHE.E_3_Rhizo	PHE.E_4_Bulk	PHE.E_4_Rhizo	PHE.E_5_Bulk	PHE.E_5_Rhizo	PHE.E_6_Bulk	PHE.E_6_Rhizo	PHE.N_1_Bulk	PHE.N_1_Rhizo	PHE.N_2_Bulk	PHE.N_2_Rhizo	PHE.N_3_Bulk	PHE.N_3_Rhizo	PHE.N_4_Bulk	PHE.N_4_Rhizo	PHE.N_5_Bulk	PHE.N_5_Rhizo	PHE.N_6_Bulk	PHE.N_6_Rhizo
k__Fungi;Other;Other;Other;Other;Other	0.19012145749	0.156281376518	0.00781781376518	0.109362348178	0.0263522267206	0.083995951417	0.00832388663968	0.00526518218623	0.0	0.00131376518219	0.00224696356275	0.0109777327935	0.0627267206478	0.132192307692	0.0154655870445	0.0443360323887	0.00551619433198	0.106931174089	0.000708502024291	0.00471052631579	0.00175708502024	0.00516599190283	0.00467408906883	0.167269230769	0.157423076923	0.160682186235	0.0	0.0496315789474	0.0	0.00541902834008	0.00726315789474	0.020979757085	0.000623481781377	0.00287854251012	0.00175708502024	0.000761133603239	0.0198076923077	0.157939271255	0.0148441295547	0.0138299595142	0.00565182186235	0.0553643724696	0.00164170040486	0.0142246963563	0.00910931174089	0.0118218623482	0.000736842105263	0.0582044534413	0.0156700404858	0.0552044534413	0.00438866396761	0.0191619433198	0.0198846153846	0.00388461538462	0.000210526315789	0.0150931174089	0.000238866396761	0.0426052631579	0.0011983805668	0.0044008097166	0.120961538462	0.0759412955466	0.0448825910931	0.0025991902834	0.0307753036437	0.00292510121457	0.0125971659919	0.00723684210526	0.00636639676113	0.000376518218623	0.00324898785425	0.00726923076923	0.0262429149798	0.011463562753	0.061532388664	0.0	0.0267165991903	0.0126072874494	0.204271255061	0.00226518218623	0.00136842105263	0.0261396761134	0.0319089068826	0.0376518218623	0.00963157894737	0.13433805668	0.309111336032	0.00208704453441	0.023524291498	0.0179615384615	0.0327064777328	0.000554655870445	0.00241295546559	0.0183846153846	0.202995951417	0.0852753036437	0.119165991903	0.0407591093117	0.173684210526	0.000283400809717	0.0842753036437	0.000151821862348	0.00338461538462	0.0	0.0176477732794	0.00195344129555	0.00486032388664	0.00307692307692	0.0443704453441	0.0	0.00725506072874	0.00186032388664	0.00417611336032	0.00558906882591	0.0187955465587	0.00326720647773	0.0154109311741	0.0	0.00434817813765	0.0783603238866	0.0388036437247	0.00019028340081	0.00637246963563	0.0	0.00815789473684	0.000196356275304	0.0117894736842	0.000386639676113	0.00818218623482	0.00118825910931	0.038995951417	0.0563198380567	0.0208684210526	0.0	0.00544534412955	0.00281781376518	0.00585020242915	0.0	0.00643522267206	0.000321862348178	0.00327125506073	0.00102834008097	0.00732186234818	0.00252024291498	0.0519089068826	0.00771255060729	0.0222226720648	0.00158502024291	0.0171619433198	0.00302834008097	0.00371255060729	0.000665991902834	0.0029048582996	0.00036032388664	0.00573076923077	0.0480506072874	0.0495991902834	0.00358502024291	0.00551417004049	0.000115384615385	0.0264736842105	0.0	0.00306882591093	0.000504048582996	0.00562348178138	9.91902834008e-05	0.00288259109312	0.0104979757085	0.0405829959514	0.0018967611336	0.0242935222672	0.002995951417	0.0307712550607	0.0002004048583	0.00277327935223	0.0	0.00723076923077	0.00235627530364	0.00627125506073	0.136670040486	0.0256093117409	0.0111497975709	0.0561700404858	0.0323906882591	0.145317813765	0.00212753036437	0.00802631578947	0.0	0.00606680161943	0.0	0.00298380566802
k__Fungi;p__Ascomycota;Other;Other;Other;Other	0.221767206478	0.0810182186235	0.0207813765182	0.152111336032	0.0177246963563	0.0297388663968	0.000232793522267	0.00224493927126	0.0	0.00108097165992	0.000398785425101	0.00913765182186	0.0511659919028	0.103232793522	0.00196963562753	0.0560222672065	0.100137651822	0.28451417004	0.000313765182186	0.00420647773279	0.0	0.00869028340081	0.0127753036437	0.0912165991903	0.0227145748988	0.0540728744939	0.00104655870445	0.0205263157895	0.000621457489879	0.0325870445344	0.0677874493927	0.0177489878543	0.00142307692308	0.0102206477733	0.00287651821862	0.000753036437247	0.00804251012146	0.0968987854251	0.00342105263158	0.0042044534413	0.0	0.042979757085	0.00364170040486	0.00795951417004	0.00984615384615	0.0453744939271	0.00317206477733	0.0209149797571	0.0382570850202	0.0476477732794	0.0012004048583	0.00322469635628	0.00558097165992	0.00820850202429	0.000228744939271	0.00203846153846	0.0477368421053	0.0834251012146	0.00203441295547	0.00734008097166	0.0628097165992	0.107368421053	0.0215910931174	0.000133603238866	0.037024291498	0.00507489878543	0.0175566801619	0.0	0.00186842105263	0.0	0.00153846153846	0.00151619433198	0.012491902834	0.021975708502	0.0655344129555	0.000477732793522	0.0215060728745	0.00305263157895	0.0422672064777	0.000439271255061	0.0023036437247	0.000587044534413	0.0337611336032	0.0471032388664	0.0163866396761	0.0381396761134	0.112299595142	0.000878542510121	0.0126133603239	0.0175910931174	0.0301639676113	0.000568825910931	0.00169028340081	0.00958502024291	0.0446376518219	0.0099979757085	0.0676417004049	0.101032388664	0.164050607287	0.00177935222672	0.0896963562753	0.000467611336032	0.0019028340081	0.000119433198381	0.0140870445344	0.000544534412955	0.00416801619433	0.0179311740891	0.0752874493927	0.00185829959514	0.00776113360324	0.0	0.00404858299595	0.0285728744939	0.00671862348178	0.00630566801619	0.00791295546559	0.0	0.00324291497976	0.00890688259109	0.00567813765182	0.000327935222672	0.0167449392713	0.000497975708502	0.00289068825911	0.0	0.00761133603239	0.0	0.00466194331984	0.0210465587045	0.0183421052632	0.00265182186235	0.0176477732794	0.00129352226721	0.0026012145749	0.000504048582996	0.00862145748988	0.00311336032389	0.0172813765182	0.00565182186235	0.0062975708502	0.00281174089069	0.0138562753036	0.00236842105263	0.07654048583	0.00133198380567	0.0082044534413	0.00065991902834	0.00386437246964	0.000471659919028	0.00103238866397	0.0119129554656	0.0510425101215	0.000447368421053	0.00958704453441	0.00496963562753	0.0394898785425	0.00680566801619	0.0108623481781	0.0	0.0186761133603	0.000682186234818	0.00470850202429	0.000439271255061	0.00882186234818	0.0	0.00271255060729	0.00459109311741	0.00474898785425	0.00141093117409	0.00690890688259	0.0104534412955	0.200194331984	0.0	0.00282591093117	0.0	0.0119655870445	0.000182186234818	0.00280769230769	0.00326720647773	0.0384291497976	0.0234615384615	0.0625708502024	0.0451619433198	0.0299534412955	0.000141700404858	0.0156093117409	0.0	0.0077004048583	0.000253036437247	0.00362348178138
k__Fungi;p__Ascomycota;c__Dothideomycetes;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000105263157895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000491902834008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Diplodia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000900809716599	0.000388663967611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000532388663968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000161943319838	0.0	0.0	0.0	0.0	0.0	0.000421052631579	0.000321862348178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000564777327935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000111336032389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000556680161943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000293522267206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000255060728745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00121052631579	0.00112550607287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5020242915e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000975708502024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Arthrocatena	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000734817813765	0.000208502024291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000775303643725	0.0	0.0	0.0	0.0	0.000251012145749	0.0	0.0	0.00108502024291	0.0	0.0	0.000176113360324	0.0	6.68016194332e-05	0.0	0.0	0.0	0.0	0.000251012145749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000178137651822	0.0	0.0	0.0	0.0	0.000157894736842	0.0	0.00036032388664	0.0	0.0	0.0	0.001504048583	0.0252024291498	0.0	0.0	0.0	0.0	0.0	0.000212550607287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026983805668	0.0	0.0	0.0	0.0	0.0	0.0	0.000194331983806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000921052631579	0.000825910931174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002004048583	0.0	0.0	0.0	0.000894736842105	0.0	0.0	0.0	0.0	0.000287449392713	0.0	0.0	0.0	0.0	0.0	0.000368421052632	0.0	0.0	0.000226720647773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000204453441296	0.0	0.000552631578947	0.0	0.0	0.000516194331984	0.0	0.0	8.5020242915e-05	0.0	0.0	0.0	0.000471659919028	0.0116518218623	0.000265182186235	0.0	0.0	0.000137651821862	0.000135627530364	0.0	0.0	0.0	0.0	0.000267206477733	9.10931174089e-05	0.0	0.0	0.000429149797571	0.0	0.0	0.0	0.0	0.0	0.000172064777328	0.0	0.0	0.000455465587045	0.0	0.000694331983806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Kirramyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00237854251012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000929149797571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000103238866397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	0.0240910931174	0.0143056680162	0.00772267206478	0.0124574898785	0.377953441296	0.0473603238866	0.00627530364372	0.00126720647773	0.000724696356275	0.00658299595142	0.00602024291498	0.0011963562753	0.0372712550607	0.074479757085	0.0613481781377	0.0313846153846	0.0504736842105	0.00274696356275	0.00251214574899	0.00226518218623	0.0156477732794	0.00482591093117	0.137159919028	0.0355708502024	0.0112186234818	0.0217267206478	0.00519433198381	0.0748684210526	0.00738663967611	0.0245506072874	0.0158056680162	0.0237125506073	0.00248582995951	0.00182995951417	0.0127874493927	0.00878947368421	0.00592105263158	0.0119129554656	0.0286558704453	0.0121801619433	0.0102692307692	0.00533805668016	0.00151821862348	0.00232186234818	0.00201417004049	0.012008097166	0.00866801619433	0.00348582995951	0.0213117408907	0.00437651821862	0.0261801619433	0.0098987854251	0.0283056680162	0.00958299595142	0.00224898785425	0.00344736842105	0.0443866396761	0.0076983805668	0.0109939271255	0.00117206477733	0.160417004049	0.0525101214575	0.0220971659919	0.00146153846154	0.0053987854251	0.00160728744939	0.000621457489879	0.00523481781377	0.0067955465587	0.00892712550607	0.00360526315789	0.00473481781377	0.00650607287449	0.0305870445344	0.0317692307692	0.0338906882591	0.0465	0.113344129555	0.0172064777328	0.000623481781377	0.0	0.10082388664	0.0191295546559	0.102854251012	0.000827935222672	0.0	0.0728663967611	0.0471680161943	0.122896761134	0.116317813765	0.0237267206478	0.00331376518219	0.0040020242915	0.0305425101215	0.0856295546559	0.00654453441296	0.0181315789474	0.0173947368421	0.00903036437247	0.0600526315789	0.0951457489879	0.00121862348178	0.00114979757085	0.00406882591093	0.000856275303644	0.000884615384615	0.0045951417004	0.00584817813765	0.0117813765182	0.00277125506073	0.017491902834	0.0278137651822	0.00137449392713	0.0055971659919	0.00102631578947	0.00687044534413	0.00474291497976	0.00300607287449	0.00775506072874	0.00806477732794	0.00216801619433	0.00318016194332	0.0137408906883	0.0224028340081	0.028995951417	0.000431174089069	0.00223279352227	0.00968421052632	0.000544534412955	0.0251943319838	0.0293886639676	0.00116801619433	0.00957894736842	0.0028016194332	0.00436234817814	0.0101032388664	0.0506457489879	0.00457894736842	0.000194331983806	0.0025951417004	0.00162348178138	0.00351619433198	0.00761538461538	0.00445344129555	0.0157226720648	0.00142105263158	0.0220668016194	0.0352145748988	0.0211619433198	0.00304858299595	0.000655870445344	0.000663967611336	0.0051983805668	0.00259109311741	0.00523279352227	0.00906072874494	0.0198927125506	0.00325708502024	0.0133218623482	0.00136842105263	0.0301133603239	0.00424696356275	0.00483400809717	0.0042024291498	0.00243117408907	0.00293522267206	0.0136578947368	0.00179352226721	0.127740890688	0.00673279352227	0.00606680161943	0.0258076923077	0.0184777327935	0.0	0.00294331983806	0.0019028340081	0.00128744939271	0.0118927125506	0.00273886639676	0.00533400809717	0.0073036437247	0.00118825910931	0.0148927125506	0.212038461538	0.128574898785	0.00139473684211	0.00015991902834	0.00247165991903	0.00661740890688	0.0104048582996	0.00573279352227
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Extremaceae;g__Extremus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000216599190283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
