code	compartment	contamination	cont.comp	nem	col	ver	diversity_status	treatment	block	fw_aerial	dw_aerial	dw_root	biomass	RSR	height	branch	phe.b	phe.r	phe	phe.total	pah-rhd-gp.b	pah-rhd-gp.r	pah-rhd-gp.c	pah-rhd-gn.b	pah-rhd-gn.r	pah-rhd-gn.c	gn.copies.g.soil	gp.copies.g.soil	pot number
0_0_1_Bulk	bulk	control	con.bul	0	0	0	O	0_O	1	44.205	13.231	1.941	15.172	0.147	86	9	0	0	0	0.00	20666667	14969841		86238095	167460317		86238095	20666667	1
0_C_1_Bulk	bulk	control	con.bul	0	1	0	C	0_C	1	34.555	11.453	1.719	13.172	0.150	84.5	6	0	0	0	0.00	40159363	20047809		54119522	150948207		54119522	40159363	2
0_E_1_Bulk	bulk	control	con.bul	0	0	1	E	0_E	1	56.929	19.043	2.331	21.374	0.122	97.5	10	0	0	0	0.00	5386454	11467729		28254980	139952191		28254980	5386454	3
0_N_1_Bulk	bulk	control	con.bul	1	0	0	N	0_N	1	41.118	12.05	1.455	13.505	0.121	96	6	0	0	0	0.00	6999203	6349206		50693227	92873016		50693227	6999203	4
0_CE_1_Bulk	bulk	control	con.bul	0	1	1	CE	0_CE	1	28.418	8.354	1.415	9.769	0.169	101	4	0	0	0	0.00	5839683	4321600	19940741	64888889	35760000	141985185	64888889	5839683	5
0_CN_1_Bulk	bulk	control	con.bul	1	1	0	CN	0_CN	1	34.493	10.762	1.088	11.85	0.101	95	6	0	0	0	0.00	18581673	2695652		338645418	54893281		338645418	18581673	6
0_EN_1_Bulk	bulk	control	con.bul	1	0	1	EN	0_EN	1	60.43	18.583	2.026	20.609	0.109	100	19	0	0	0	0.00	1289960		6863396	14054618	1719048	123788679	14054618	1289960	7
0_CEN_1_Bulk	bulk	control	con.bul	1	1	1	CEN	0_CEN	1	55.032	16.75	1.636	18.386	0.098	95	11	0	0	0	0.00	4395219	5015504	31833962	36446215	5682171	110535849	36446215	4395219	8
PHE_0_1_Bulk	bulk	phenanthrene	phe.bul	0	0	0	O	PHE_O	1	26.83	7.918	1.805	9.723	0.228	85	13	7.44	1.34	7.44	8.78	7800791	5012698		434782609	269682540		434782609	7800791	9
PHE_C_1_Bulk	bulk	phenanthrene	phe.bul	0	1	0	C	PHE_C	1	22.235	6.768	1.044	7.812	0.154	57	7	1.37	1.29	1.37	2.66	4043028	18432000		91649402	268800000		91649402	4043028	10
PHE_E_1_Bulk	bulk	phenanthrene	phe.bul	0	0	1	E	PHE_E	1	40.7	12.229	1.628	13.857	0.133	94	8	12.27	1.40	12.27	13.67	13928405	8056225	2027200	569182879	497028112	102608000	569182879	13928405	11
PHE_N_1_Bulk	bulk	phenanthrene	phe.bul	1	0	0	N	PHE_N	1	42.81	13.361	1.494	14.855	0.112	117	4		1.97		1.97	8104762	7318577		232857143	174229249		232857143	8104762	12
PHE_CE_1_Bulk	bulk	phenanthrene	phe.bul	0	1	1	CE	PHE_CE	1	46.375	14.484	2.27	16.754	0.157	94	9	1.44	1.85	1.44	3.29	26891566	13423810	58776	132819277	732380952	15388060	132819277	26891566	13
PHE_CN_1_Bulk	bulk	phenanthrene	phe.bul	1	1	0	CN	PHE_CN	1	36.17	14.337	1.578	15.915	0.110	97	5	3.32	1.64	3.32	4.96	34032000	14090476		308800000	702063492		308800000	34032000	14
PHE_EN_1_Bulk	bulk	phenanthrene	phe.bul	1	0	1	EN	PHE_EN	1	47.19	15.96	1.221	17.181	0.077	94	8	1.82	1.70	1.82	3.52	14698795	7003175	1467865	97188755	1189365079	18486891	97188755	14698795	15
PHE_CEN_1_Bulk	bulk	phenanthrene	phe.bul	1	1	1	CEN	PHE_CEN	1	37.317	10.815	1.712	12.527	0.158	59	12	1.71	1.73	1.71	3.44	33466135	2531225		585019920	864980237		585019920	33466135	16
0_0_2_Bulk	bulk	control	con.bul	0	0	0	O	0_O	2	36.415	13.788	0.902	14.69	0.065	106	4	0	0	0	0.00	17795276	1880000		64377953	455680000		64377953	17795276	17
0_C_2_Bulk	bulk	control	con.bul	0	1	0	C	0_C	2	44.015	13.033	2.376	15.409	0.182	80	13	0	0	0	0.00	18544000	4240316		52448000	113913043		52448000	18544000	18
0_E_2_Bulk	bulk	control	con.bul	0	0	1	E	0_E	2	43.7	13.939	1.655	15.594	0.119	91	8	0	0	0	0.00	19873518	2430888		46213439	259613900		46213439	19873518	19
0_N_2_Bulk	bulk	control	con.bul	1	0	0	N	0_N	2	33.505	9.539	1.307	10.846	0.137	89	6	0	0	0	0.00	5948679	1912782		13109434	72736842		13109434	5948679	20
0_CE_2_Bulk	bulk	control	con.bul	0	1	1	CE	0_CE	2	44	13.038	1.668	14.706	0.128	93.5	8	0	0	0	0.00	9750400	1458308	5243774	47728000	150307692	45600000	47728000	9750400	21
